listing_id,City,County,Neighborhood
29658486,Toronto,Toronto,
29658975,Toronto,Toronto,
29660304,Scarborough,Toronto,
29660419,Toronto,Toronto,
29660616,North York,Toronto,
29660881,Toronto,Toronto,
29661201,Toronto,Toronto,
29672757,Toronto,Toronto,
29673839,York,Toronto,
29678462,North York,Toronto,
29679661,Toronto,Toronto,
29680040,Scarborough,Toronto,
29681256,Toronto,Toronto,
29681811,Toronto,Toronto,
29683802,Toronto,Toronto,
29684417,Toronto,Toronto,
29698884,Scarborough,Toronto,
29699926,North York,Toronto,
29702333,Toronto,Toronto,
29703062,Etobicoke,Toronto,
29704947,Toronto,Toronto,
29707527,Toronto,Toronto,
29712720,Toronto,Toronto,
29716237,Toronto,Toronto,
29717706,Toronto,Toronto,
29732713,Toronto,Toronto,
29733237,Toronto,Toronto,
29733341,North York,Toronto,
29735514,Toronto,Toronto,
29735647,Toronto,Toronto,
29736021,Toronto,Toronto,
29736625,Toronto,Toronto,
29754646,Toronto,Toronto,
29754991,North York,Toronto,
29757323,North York,Toronto,
29757554,North York,Toronto,
29760409,North York,Toronto,
29760753,Toronto,Toronto,
29762338,Toronto,Toronto,
29762412,North York,Toronto,
29763407,York,Toronto,
29764452,Toronto,Toronto,
29764504,Toronto,Toronto,
29764813,Scarborough,Toronto,
29765110,North York,Toronto,
29765442,North York,Toronto,
29765685,North York,Toronto,
29766009,North York,Toronto,
29769466,Toronto,Toronto,
29771249,Etobicoke,Toronto,
29772557,East York,Toronto,
29773511,Toronto,Toronto,
29777664,North York,Toronto,
29778277,Scarborough,Toronto,
29778640,Toronto,Toronto,
29779296,Toronto,Toronto,
29779321,North York,Toronto,
29780086,Toronto,Toronto,
29780923,Toronto,Toronto,
29782814,Scarborough,Toronto,
29784122,Toronto,Toronto,
29791759,Toronto,Toronto,
29792923,Toronto,Toronto,
29793192,Toronto,Toronto,
29800379,Toronto,Toronto,
29817480,Toronto,Toronto,
29820999,Toronto,Toronto,
29827342,Toronto,Toronto,
29829176,Scarborough,Toronto,
29830640,Toronto,Toronto,
29831676,Toronto,Toronto,
29831810,Toronto,Toronto,
29832586,Toronto,Toronto,
29833218,Toronto,Toronto,
29843635,Etobicoke,Toronto,
29848813,Etobicoke,Toronto,
29853810,Toronto,Toronto,
29853883,Toronto,Toronto,
29854479,Toronto,Toronto,
29857282,Toronto,Toronto,
29858908,Toronto,Toronto,
29859447,Toronto,Toronto,
29860154,Toronto,Toronto,
29861027,Toronto,Toronto,
29861260,Toronto,Toronto,
29861374,North York,Toronto,
29861426,Toronto,Toronto,
29861600,Toronto,Toronto,
29862080,Toronto,Toronto,
29862210,Toronto,Toronto,
29862325,Toronto,Toronto,
29862424,Toronto,Toronto,
29862484,Toronto,Toronto,
29863341,Toronto,Toronto,
29872764,Toronto,Toronto,
29872868,Toronto,Toronto,
29873475,Etobicoke,Toronto,
29874152,Toronto,Toronto,
29876016,Toronto,Toronto,
29880676,Toronto,Toronto,
29881122,North York,Toronto,
29881659,Toronto,Toronto,
29882247,York,Toronto,
29882797,Scarborough,Toronto,
29884067,Toronto,Toronto,
29885142,Toronto,Toronto,
29893047,Scarborough,Toronto,
29901022,Toronto,Toronto,
29902026,East York,Toronto,
29904200,Toronto,Toronto,
29904527,Toronto,Toronto,
29904829,Toronto,Toronto,
29905128,Toronto,Toronto,
29905201,York,Toronto,
29906097,North York,Toronto,
29908987,Toronto,Toronto,
29909089,Toronto,Toronto,
29923600,Toronto,Toronto,
29924396,North York,Toronto,
29925074,North York,Toronto,
29927273,Scarborough,Toronto,
29928960,Toronto,Toronto,
29929223,Toronto,Toronto,
29936637,North York,Toronto,
29938683,North York,Toronto,
29941485,Toronto,Toronto,
29941515,Toronto,Toronto,
29943747,North York,Toronto,
29944092,Toronto,Toronto,
29944433,Toronto,Toronto,
29945656,Toronto,Toronto,
29945949,Toronto,Toronto,
29947803,Toronto,Toronto,
29954779,East York,Toronto,
29958417,Toronto,Toronto,
29961528,Toronto,Toronto,
29967397,North York,Toronto,
29984456,Toronto,Toronto,
29988364,Toronto,Toronto,
29989868,Toronto,Toronto,
29991804,Toronto,Toronto,
29991881,East York,Toronto,
29992390,Thornhill,York,
29994144,Scarborough,Toronto,
29995155,Etobicoke,Toronto,
29995944,North York,Toronto,
30004816,Etobicoke,Toronto,
30010281,Toronto,Toronto,
30014331,Toronto,Toronto,
30015439,Scarborough,Toronto,
30016692,Toronto,Toronto,
30017530,Toronto,Toronto,
30018941,Toronto,Toronto,
30025378,North York,Toronto,
30033406,Toronto,Toronto,
30035012,North York,Toronto,
30037161,North York,Toronto,
30037646,Toronto,Toronto,
30037743,Toronto,Toronto,
30038764,Toronto,Toronto,
30039159,Toronto,Toronto,
30039436,North York,Toronto,
30039839,Scarborough,Toronto,
30040787,Toronto,Toronto,
30040877,Scarborough,Toronto,
30044684,Toronto,Toronto,
30047091,Toronto,Toronto,
30047841,Toronto,Toronto,
30047997,Toronto,Toronto,
30048062,North York,Toronto,
30057864,Toronto,Toronto,
30058115,North York,Toronto,
30059721,Scarborough,Toronto,
30059928,Toronto,Toronto,
30061519,Toronto,Toronto,
30061545,Toronto,Toronto,
30063321,Scarborough,Toronto,
30064608,Toronto,Toronto,
30069508,Toronto,Toronto,
30069755,North York,Toronto,
30070366,Scarborough,Toronto,
30072254,North York,Toronto,
30082898,Toronto,Toronto,
30084833,East York,Toronto,
30086060,North York,Toronto,
30086385,North York,Toronto,
30087429,Toronto,Toronto,
30087479,Toronto,Toronto,
30090598,Toronto,Toronto,
30091013,Toronto,Toronto,
30091440,Toronto,Toronto,
30091560,Toronto,Toronto,
30091882,North York,Toronto,
30092311,Toronto,Toronto,
30094918,Toronto,Toronto,
30102946,Toronto,Toronto,
30107860,Toronto,Toronto,
30109087,Toronto,Toronto,
30109661,Toronto,Toronto,
30109897,Toronto,Toronto,
30112343,Toronto,Toronto,
30124051,North York,Toronto,
30124299,Toronto,Toronto,
30124486,Toronto,Toronto,
30124905,Toronto,Toronto,
30131901,Scarborough,Toronto,
30133743,Toronto,Toronto,
30146522,Scarborough,Toronto,
30146820,Toronto,Toronto,
30148934,York,Toronto,
30149699,Toronto,Toronto,
30154789,Toronto,Toronto,
30155406,Toronto,Toronto,
30155786,Toronto,Toronto,
30156917,Toronto,Toronto,
30157044,Toronto,Toronto,
30157313,North York,Toronto,
30158639,Etobicoke,Toronto,
