listing_id,City,County,Neighborhood
1419,Toronto,Toronto,
8077,Toronto,Toronto,
23691,York,Toronto,
27423,Toronto,Toronto,
30931,Toronto,Toronto,
40456,Toronto,Toronto,
41887,Scarborough,Toronto,
42892,Toronto,Toronto,
43964,Scarborough,Toronto,
44452,Toronto,Toronto,
44469,Toronto,Toronto,
45399,Toronto,Toronto,
45601,Toronto,Toronto,
45893,Toronto,Toronto,
50110,Toronto,Toronto,
51616,Toronto,Toronto,
57483,Toronto,Toronto,
62545,Toronto,Toronto,
64641,Toronto,Toronto,
64645,Toronto,Toronto,
65238,Toronto,Toronto,
66856,Toronto,Toronto,
69464,Toronto,Toronto,
71118,Toronto,Toronto,
75051,Toronto,Toronto,
82694,Toronto,Toronto,
84076,Toronto,Toronto,
84151,Toronto,Toronto,
89575,York,Toronto,
96336,Toronto,Toronto,
104096,Toronto,Toronto,
112842,Toronto,Toronto,
113175,Toronto,Toronto,
119441,Toronto,Toronto,
122492,East York,Toronto,
131401,Toronto,Toronto,
146601,Toronto,Toronto,
148945,Toronto,Toronto,
149420,Toronto,Toronto,
153000,Toronto,Toronto,
154743,Toronto,Toronto,
179578,Toronto,Toronto,
182573,York,Toronto,
184784,Toronto,Toronto,
192335,Toronto,Toronto,
196584,Toronto,Toronto,
206529,Etobicoke,Toronto,
207206,Toronto,Toronto,
209226,Toronto,Toronto,
214735,Toronto,Toronto,
224775,Toronto,Toronto,
228568,Toronto,Toronto,
229913,Toronto,Toronto,
239449,Toronto,Toronto,
248940,York,Toronto,
248941,York,Toronto,
260645,Toronto,Toronto,
261235,Toronto,Toronto,
264319,Toronto,Toronto,
266300,Toronto,Toronto,
269355,Toronto,Toronto,
273304,Toronto,Toronto,
280249,Toronto,Toronto,
283934,Toronto,Toronto,
288341,Toronto,Toronto,
304065,Toronto,Toronto,
307726,Toronto,Toronto,
309402,East York,Toronto,
312035,Toronto,Toronto,
314459,Toronto,Toronto,
314934,Toronto,Toronto,
325432,Toronto,Toronto,
341933,Toronto,Toronto,
361557,Toronto,Toronto,
361831,North York,Toronto,
363057,Toronto,Toronto,
366973,Toronto,Toronto,
379133,Toronto,Toronto,
380910,Toronto,Toronto,
382186,Toronto,Toronto,
382423,Toronto,Toronto,
390395,Toronto,Toronto,
396504,Toronto,Toronto,
401823,Toronto,Toronto,
403200,Toronto,Toronto,
413276,Toronto,Toronto,
415104,North York,Toronto,
415110,Toronto,Toronto,
415111,North York,Toronto,
415135,Toronto,Toronto,
429943,Toronto,Toronto,
436403,Toronto,Toronto,
445708,Toronto,Toronto,
449650,Toronto,Toronto,
455640,York,Toronto,
456371,Toronto,Toronto,
457588,Toronto,Toronto,
462366,North York,Toronto,
466650,Toronto,Toronto,
473827,York,Toronto,
493281,Toronto,Toronto,
495303,Toronto,Toronto,
511141,Toronto,Toronto,
516823,Toronto,Toronto,
517709,Toronto,Toronto,
525387,Toronto,Toronto,
526594,North York,Toronto,
529227,Toronto,Toronto,
533659,Toronto,Toronto,
539936,Toronto,Toronto,
543810,Toronto,Toronto,
547777,Toronto,Toronto,
557915,Toronto,Toronto,
571429,Toronto,Toronto,
573892,Toronto,Toronto,
