id,description_polarity
2979246,0.9979
26662976,0.9977
39058638,0.9976
3849103,0.997
21764678,0.997
27278791,0.997
5489928,0.9969
23923844,0.9969
20125048,0.9968
17404153,0.9966
39674198,0.9966
4205747,0.9966
4503824,0.9964
19329369,0.9964
20796270,0.9963
30287784,0.9962
10084192,0.9961
13924206,0.9959
14183374,0.9959
18827027,0.9959
19434608,0.9959
4930281,0.9959
37427844,0.9958
22259815,0.9957
21299652,0.9957
38747285,0.9957
27139893,0.9956
24995936,0.9956
1270535,0.9955
24894454,0.9955
473827,0.9955
20696761,0.9955
14084782,0.9955
23256004,0.9954
5004095,0.9954
65238,0.9953
1945120,0.9952
42987956,0.9952
20137329,0.9952
20124266,0.9952
40306059,0.9952
23731266,0.9951
37946376,0.9951
36386245,0.9951
12940734,0.9951
47844350,0.9951
16039481,0.9951
4315575,0.9951
47799601,0.9951
6853604,0.9951
2993831,0.995
6710961,0.995
11135880,0.995
20130663,0.995
8308935,0.995
47944338,0.995
15958129,0.9949
5838099,0.9949
42276995,0.9948
32996221,0.9948
19968186,0.9948
23773477,0.9948
38978682,0.9948
43898545,0.9948
23773589,0.9947
36422473,0.9947
45229005,0.9947
8627757,0.9947
6276555,0.9946
5335087,0.9946
1604069,0.9946
16441788,0.9946
3140188,0.9946
37329492,0.9946
19219556,0.9946
7191482,0.9946
31392632,0.9946
24281403,0.9946
42839240,0.9945
44863906,0.9945
3880929,0.9945
8420453,0.9945
1754254,0.9945
23773292,0.9945
33136454,0.9945
21839092,0.9945
8309118,0.9945
19037931,0.9945
2666635,0.9945
40635522,0.9944
14122940,0.9944
44864863,0.9944
19102243,0.9944
21485418,0.9944
16792842,0.9944
14153652,0.9943
33129770,0.9943
21885277,0.9943
8953011,0.9943
37176247,0.9943
16795828,0.9942
15497982,0.9942
47811970,0.9942
44119930,0.9942
16311162,0.9941
38712927,0.9941
39131017,0.9941
39793800,0.9941
16312217,0.9941
2881715,0.9941
19848460,0.9941
15512850,0.9941
28762212,0.9941
34642969,0.9941
14841407,0.9941
39278651,0.9941
37357488,0.9941
17958420,0.9941
34641685,0.9941
32901058,0.9941
39171727,0.9941
32154124,0.9941
32949784,0.9941
29893047,0.9941
34560378,0.9941
29462697,0.9941
33707375,0.994
23905385,0.994
37859544,0.994
18873396,0.994
36393860,0.994
30155786,0.994
33296977,0.994
47487414,0.9939
34333469,0.9939
21937922,0.9939
36389904,0.9939
26959033,0.9939
38429197,0.9939
31305107,0.9939
34652108,0.9938
45736117,0.9938
20620905,0.9938
16005226,0.9938
41325629,0.9938
1222291,0.9938
742076,0.9938
46088088,0.9938
22483955,0.9938
29213588,0.9937
29079569,0.9937
39992837,0.9937
8578715,0.9937
24181508,0.9937
47774459,0.9937
33244033,0.9937
26865556,0.9937
40093063,0.9937
39991893,0.9937
27946588,0.9937
44535521,0.9937
39501211,0.9937
39992975,0.9937
39992675,0.9937
39992468,0.9937
6909309,0.9937
39993129,0.9937
33870475,0.9937
42796187,0.9936
46065895,0.9936
35907072,0.9936
22283448,0.9936
11147303,0.9936
35123492,0.9936
5585677,0.9936
22126823,0.9935
35484921,0.9935
13980935,0.9935
44501887,0.9935
17044015,0.9935
1179509,0.9935
28611654,0.9935
31338701,0.9935
6993031,0.9935
27340666,0.9935
37836041,0.9934
37016543,0.9934
37015650,0.9934
30538067,0.9934
40825439,0.9934
30537753,0.9934
20724713,0.9934
35627434,0.9934
44213791,0.9933
3851368,0.9933
20957479,0.9933
17380938,0.9933
28909368,0.9933
47744830,0.9933
47718270,0.9933
26992781,0.9933
45736035,0.9933
36562897,0.9933
864104,0.9932
7523979,0.9932
40351949,0.9932
37917201,0.9932
